attendance_percentage,study_hours_per_week,previous_gpa,midterm_score,assignment_completion,quiz_score,sleep_hours_per_day,extracurricular,internet_access,final_score,final_gpa,grade,passed,risk_level
84.0,8.6,2.67,60.5,81.5,46.7,8.5,0,1,68.0,2.72,C,1,MEDIUM
76.3,11.3,3.08,64.9,74.4,47.4,5.1,0,0,66.3,2.65,C,1,MEDIUM
85.8,8.0,3.11,65.2,79.4,47.7,6.8,1,1,68.2,2.73,C,1,MEDIUM
96.3,10.5,3.34,75.6,92.7,60.4,7.2,1,1,79.4,3.18,B,1,LOW
75.2,2.5,2.42,54.1,100.0,63.4,7.2,1,1,69.9,2.8,C,1,MEDIUM
75.2,13.1,3.4,75.6,90.6,54.3,7.4,1,1,73.3,2.93,B,1,MEDIUM
97.0,12.0,1.75,65.6,83.5,59.1,7.9,0,1,64.2,2.57,C,1,MEDIUM
87.2,7.9,2.79,59.9,100.0,53.3,7.2,1,1,78.4,3.14,B,1,LOW
72.4,15.3,2.86,73.3,77.3,47.8,6.8,1,1,71.4,2.86,B,1,HIGH
84.5,16.7,3.42,74.5,97.5,66.3,6.8,1,1,74.5,2.98,B,1,MEDIUM
72.4,4.0,3.11,60.4,77.7,54.7,6.5,1,1,64.5,2.58,C,1,HIGH
72.4,8.2,2.4,60.5,88.5,58.7,8.1,1,1,65.7,2.63,C,1,HIGH
80.9,8.2,2.61,64.8,80.3,43.7,6.5,0,1,68.9,2.75,C,1,MEDIUM
55.0,7.3,3.2,61.7,81.2,48.2,8.1,0,1,54.2,2.17,D,1,CRITICAL
57.3,16.1,3.06,65.6,76.3,55.1,7.2,1,1,62.3,2.49,C,1,CRITICAL
71.3,11.0,2.81,59.1,100.0,58.0,6.6,0,1,62.3,2.49,C,1,HIGH
65.8,10.7,2.86,71.9,71.0,43.5,7.9,1,1,62.4,2.5,C,1,HIGH
81.8,2.0,3.45,66.9,70.9,51.2,6.4,1,1,66.8,2.67,C,1,MEDIUM
67.1,15.2,2.84,64.3,100.0,55.0,7.9,0,1,68.9,2.75,C,1,HIGH
61.1,5.8,3.06,61.4,96.7,67.8,7.4,0,1,67.6,2.7,C,1,CRITICAL
95.6,12.3,4.0,86.1,46.2,53.6,6.5,1,1,72.7,2.91,B,1,MEDIUM
75.3,13.4,2.39,65.7,73.5,52.7,7.8,0,1,67.1,2.68,C,1,MEDIUM
78.8,18.8,2.17,80.4,54.8,54.2,7.8,0,1,68.7,2.75,C,1,MEDIUM
60.9,5.5,3.49,58.3,67.7,45.0,8.5,0,1,61.7,2.47,C,1,CRITICAL
71.5,1.0,2.76,53.5,34.9,34.6,8.3,1,1,50.5,2.02,D,1,HIGH
79.3,12.9,2.94,70.1,79.9,61.9,7.7,0,1,69.7,2.79,C,1,MEDIUM
64.2,21.0,2.71,72.7,64.9,49.2,6.0,1,0,63.1,2.52,C,1,CRITICAL
